      Freq,     Re(Av),     Im(Av),     Re(Ai),     Im(Ai),    Re(Pin),    Im(Pin),   Re(Pout),   Im(Pout),    Re(Zin),    Im(Zin),   Re(Zout),   Im(Zout),    Re(Vin),    Im(Vin),   Re(Vout),   Im(Vout),    Re(Iin),    Im(Iin),   Re(Iout),   Im(Iout), 
        Hz,           ,           ,           ,           ,          W,          W,          W,          W,       Ohms,       Ohms,       Ohms,       Ohms,          V,          V,          V,          V,          A,          A,          A,          A, 
 8.926E+05,  8.677E-03, -4.572E-02,  1.551E-01,  2.826E-02,  9.919E-04,  1.352E-01,  9.919E-04,  5.421E-20,  1.243E+00,  1.694E+02,  2.882E+00,  2.643E+02,  4.591E+00,  1.352E+00,  1.016E-01, -1.981E-01,  8.181E-03, -2.704E-02,  2.033E-03, -3.963E-03, 
 8.993E+05,  1.804E-02,  9.838E-02, -5.691E-01,  1.393E-01,  4.768E-03,  8.122E-02,  4.768E-03,  1.355E-20,  1.716E+01,  2.924E+02,  1.464E+01, -2.694E+02,  4.813E+00,  8.122E-01,  6.933E-03,  4.882E-01,  3.731E-03, -1.624E-02,  1.387E-04,  9.764E-03, 
 9.060E+05, -2.037E-03,  1.585E-02, -1.134E-01, -1.436E-02,  1.252E-04,  6.854E-02,  1.252E-04,  0.000E+00,  6.530E-01,  3.576E+02,  7.711E-01,  3.891E+02,  4.903E+00,  6.854E-01, -2.085E-02,  7.631E-02,  1.942E-03, -1.371E-02, -4.170E-04,  1.526E-03, 
 9.128E+05, -9.697E-03,  4.394E-02, -1.091E+00, -1.843E-01,  1.007E-03,  2.019E-02,  1.007E-03,  0.000E+00,  6.121E+01,  1.228E+03,  2.178E+00,  2.266E+02,  4.982E+00,  2.019E-01, -5.718E-02,  2.169E-01,  3.658E-04, -4.039E-03, -1.144E-03,  4.339E-03, 
 9.195E+05, -8.520E-04,  3.771E-02, -2.013E-01, -3.019E-03,  6.853E-04,  9.025E-02,  6.853E-04,  0.000E+00,  2.026E+00,  2.669E+02,  1.373E+02,  2.230E+03,  4.824E+00,  9.025E-01, -3.814E-02,  1.811E-01,  3.519E-03, -1.805E-02, -7.628E-04,  3.623E-03, 
 9.262E+05, -3.854E-03,  2.916E-02, -1.954E+00, -1.443E-01,  4.319E-04,  7.480E-03,  4.319E-04,  0.000E+00,  1.919E+02,  3.325E+03,  2.520E+00,  3.783E+02,  4.995E+00,  7.480E-02, -2.143E-02,  1.454E-01,  1.089E-04, -1.496E-03, -4.287E-04,  2.908E-03, 
 9.329E+05,  3.271E-03, -1.600E-02,  1.194E-01,  2.416E-02,  1.309E-04,  6.582E-02,  1.309E-04,  0.000E+00,  7.417E-01,  3.729E+02,  3.264E-01,  2.446E+02,  4.910E+00,  6.582E-01,  2.659E-02, -7.640E-02,  1.791E-03, -1.316E-02,  5.319E-04, -1.528E-03, 
 9.396E+05, -1.660E-01, -7.399E-02,  2.371E-01, -1.202E+00,  1.518E-02,  6.648E-02,  1.518E-02,  0.000E+00,  7.501E+01,  3.285E+02,  1.931E+00, -2.198E+01,  4.747E+00,  6.648E-01, -7.389E-01, -4.616E-01,  5.060E-03, -1.330E-02, -1.478E-02, -9.232E-03, 
 9.463E+05, -1.251E-03,  1.461E-02, -1.051E-01, -8.842E-03,  1.054E-04,  6.812E-02,  1.054E-04,  0.000E+00,  5.567E-01,  3.599E+02,  1.449E+00,  5.840E+02,  4.904E+00,  6.812E-01, -1.609E-02,  7.078E-02,  1.914E-03, -1.362E-02, -3.217E-04,  1.416E-03, 
 9.530E+05,  2.578E-03, -1.972E-02,  4.330E-01,  5.277E-02,  1.973E-04,  2.274E-02,  1.973E-04,  6.776E-21,  9.513E+00,  1.096E+03,  1.176E+00,  3.826E+02,  4.988E+00,  2.274E-01,  1.734E-02, -9.779E-02,  2.468E-04, -4.547E-03,  3.468E-04, -1.956E-03, 
 9.597E+05,  1.148E-03, -7.391E-03,  4.582E-02,  7.100E-03,  2.726E-05,  7.860E-02,  2.726E-05,  0.000E+00,  1.075E-01,  3.100E+02,  1.157E-01,  3.219E+02,  4.873E+00,  7.860E-01,  1.140E-02, -3.511E-02,  2.541E-03, -1.572E-02,  2.281E-04, -7.022E-04, 
 9.664E+05,  1.203E-03, -7.280E-03,  4.139E-02,  6.825E-03,  2.640E-05,  8.529E-02,  2.640E-05, -1.694E-21,  8.799E-02,  2.843E+02,  9.939E-02,  3.027E+02,  4.850E+00,  8.529E-01,  1.204E-02, -3.428E-02,  3.006E-03, -1.706E-02,  2.408E-04, -6.856E-04, 
 9.732E+05,  9.956E-04, -6.161E-03,  4.814E-02,  7.764E-03,  1.916E-05,  6.296E-02,  1.916E-05,  0.000E+00,  1.189E-01,  3.906E+02,  7.531E-02,  3.094E+02,  4.919E+00,  6.296E-01,  8.777E-03, -2.968E-02,  1.616E-03, -1.259E-02,  1.755E-04, -5.936E-04, 
 9.799E+05, -6.300E-04,  4.270E-03, -2.927E-02, -4.314E-03,  9.122E-06,  7.142E-02,  9.122E-06,  0.000E+00,  4.377E-02,  3.427E+02,  4.283E-02,  3.389E+02,  4.896E+00,  7.142E-01, -6.134E-03,  2.046E-02,  2.086E-03, -1.428E-02, -1.227E-04,  4.091E-04, 
 9.866E+05, -8.802E-04,  8.573E-03, -4.623E-02, -4.728E-03,  3.590E-05,  8.962E-02,  3.590E-05, -1.694E-21,  1.080E-01,  2.696E+02,  3.443E-01,  4.871E+02,  4.833E+00,  8.962E-01, -1.194E-02,  4.065E-02,  3.331E-03, -1.792E-02, -2.388E-04,  8.130E-04, 
 9.933E+05, -7.761E-04,  4.565E-03, -2.283E-02, -3.879E-03,  1.031E-05,  9.614E-02,  1.031E-05,  0.000E+00,  2.681E-02,  2.500E+02,  3.671E-02,  2.941E+02,  4.808E+00,  9.614E-01, -8.121E-03,  2.120E-02,  3.847E-03, -1.923E-02, -1.624E-04,  4.241E-04, 
 1.000E+06, -2.012E-04,  1.193E-03, -7.602E-03, -1.282E-03,  7.147E-07,  7.660E-02,  7.147E-07,  0.000E+00,  2.972E-03,  3.185E+02,  2.585E-03,  2.965E+02,  4.880E+00,  7.660E-01, -1.896E-03,  5.669E-03,  2.405E-03, -1.532E-02, -3.792E-05,  1.134E-04, 
